brewery_id,name,type,abv,ibu,rating,rating_count
49,Barrel Aged Historic Strong Ale,Strong Ale - American,9.0,25.0,4.05,58
49,Whiskey Barrel-Aged Imperial Stout,Stout - Imperial / Double,10.0,64.0,4.05,120
50,Lake Monster,Scotch Ale / Wee Heavy,10.0,27.0,4.06,12
50,Basement Dance Party PAle Ale,Pale Ale - American,5.0,40.0,4.05,25
50,Yankee Stank Hazy IPA,IPA - New England,7.2,55.0,4.03,46
50,Tropical Viking Hazy IPA,IPA - American,6.5,40.0,4.01,30
50,Mega Modern Double IPA,IPA - Imperial / Double,8.7,100.0,3.99,2041
51,Panzer IPA,IPA - American,,,3.59,16
51,Fat Bottom Blonde,Blonde Ale,,,3.43,10
51,Route Irish Red,Red Ale - Irish,,,,4
51,Hill Country Hefeweizen,Hefeweizen,,,,8
51,All American Pilsner,Porter - American,,,,3
52,Cuppa’ Suds,Blonde Ale,,,3.96,48
52,Monkey Peelz,Pilsner - Other,4.6,35.0,3.86,14
52,Hefeweizen Suds Monkey,Hefeweizen,4.6,,3.84,46
52,Funky Monkey Mosaic And Citra IPA,IPA - American,7.9,54.0,3.79,20
52,Funky Monkey IPA,IPA - American,7.7,54.0,3.75,660
53,McConauhaze,IPA - New England,6.5,15.0,3.89,846
53,Haze Two,IPA - New England,6.5,18.0,3.76,30
53,BA Tripel,Belgian Tripel,9.0,15.0,3.75,24
53,Lupulomancer,IPA - Imperial / Double,8.5,60.0,3.74,223
53,Pinfall,Pilsner - German,5.5,22.0,3.7,14
54,Desert Skies,Pilsner - Other,7.5,,4.21,21
54,Le Saison Barrel Aged With Peaches And Cherries,Farmhouse Ale - Saison,,,4.21,21
54,Rosanna (Blend),Brett Beer,6.5,18.0,4.13,17
54,Apricot Sakura,Lambic - Fruit,6.3,,4.12,24
54,Barrel Aged Middle Trinity,Belgian Tripel,9.6,,4.06,28
