,Brewery_ID,Name,Type,ABV,IBU,Rating,Rating_Count
198,39,Despereaux,Farmhouse Ale - Saison,6.1,,3.58,2103
199,39,Achilles Heel,Stout - Irish Dry,4.4,,3.53,1778
200,40,HefeWeizen,Hefeweizen,5.2,12.0,3.83,38921
201,40,Big Bark Amber Lager,Lager - Vienna,4.9,25.0,3.59,11465
202,40,Pilz,Pilsner - Czech,4.7,36.0,3.58,10135
203,40,Primus,Bock - Weizendoppelbock,8.0,10.0,3.86,8483
204,40,Oaktoberfest,Festbier,5.8,20.0,3.68,6196
205,41,Saison (Batch 001),Farmhouse Ale - Saison,6.4,,4.02,1888
206,41,Taming the Savage Heart,Sour - Other,6.3,,4.17,1639
207,41,Saison (Batch 003),Farmhouse Ale - Saison,6.4,28.0,4.09,834
208,41,Casino Night IPA,IPA - American,7.0,,3.92,352
209,41,Saison (Batch 002),Farmhouse Ale - Saison,6.4,,4.16,363
210,42,Tahitian Dreamin',IPA - American,6.93,,3.92,1640
211,42,Where’s My Flannel?,Extra Special / Strong Bitter,4.5,,3.68,706
212,42,Evergreen Terrace,IPA - American,7.08,,3.83,653
213,42,To the Cloud!,IPA - American,7.08,,4.01,613
214,42,Jam Session,Sour - Fruited,5.59,,3.99,580
215,43,Marco IPA,IPA - American,7.0,65.0,3.72,9196
216,43,Coffee Milk Stout,Stout - Milk / Sweet,5.8,25.0,3.9,7103
217,43,Parks & Rec,Pale Ale - American,5.6,40.0,3.59,4383
218,43,Heavenly Daze,IPA - American,6.8,30.0,3.86,3762
219,43,Honey Blonde,Blonde Ale,4.5,,3.45,2639
220,44,Julie,Belgian Tripel,8.14,28.0,3.84,169
221,44,Bettie,Belgian Dubbel,8.14,20.0,3.92,113
222,44,Negro Sombrero,Lager - Vienna,5.5,,3.72,100
223,44,Hefe,Hefeweizen,4.0,,3.69,88
224,44,Blurred Fox,IPA - New England,7.8,38.0,3.72,63
225,45,Homunculus,English Mild Ale,3.5,21.0,3.67,400
226,45,Gaspipes,English Bitter,3.9,36.0,3.72,303
227,45,Mina,Pale Ale - American,5.5,50.0,3.72,294
228,45,Bellibone,Blonde Ale,5.2,22.0,3.64,285
229,45,Pesta,Stout - Oatmeal,4.4,31.0,3.69,235
230,46,West Coast IPA,IPA - American,6.5,,3.71,90
231,46,Pale Ale,Pale Ale - American,5.0,,3.57,64
232,46,Amber Ale,Red Ale - American Amber / Red,5.0,,3.77,64
233,46,Prickly Pear Milkshake IPA,IPA - Milkshake,6.0,75.0,3.71,47
234,46,Hazy Shade of Winter,Pale Ale - New England,6.1,,3.76,50
235,47,Cosmic Cowboy,IPA - American,7.0,69.0,3.67,1500
236,47,The Grackle,Stout - Imperial / Double,8.9,45.0,3.83,1265
237,47,Hamilton,Pale Ale - American,5.0,,3.57,1106
238,47,Haulin' Oats,Brown Ale - Other,5.2,,3.67,755
239,47,King Biscuit,Extra Special / Strong Bitter,5.0,34.0,3.61,626
240,48,Sweep The Leg - Peanut Butter Stout,Stout - American,8.0,,3.72,10428
241,48,IPA,IPA - American,7.0,75.0,3.59,7231
242,48,Hijack,Cream Ale,5.5,20.0,3.41,5239
243,48,Sex A Peel,Hefeweizen,6.1,22.0,3.57,2656
244,48,Pumpkin Massacre,Pumpkin / Yam Beer,7.5,15.0,3.57,2318
245,49,Black Metal Farmhouse Imperial Stout,Stout - Russian Imperial,10.8,,3.93,20022
246,49,Le Petit Prince ,Table Beer,2.9,30.0,3.5,16788
247,49,Noble King,Farmhouse Ale - Saison,5.9,,3.81,15973
248,49,Das Wunderkind!,Farmhouse Ale - Saison,4.5,,3.85,13891
249,49,Wytchmaker Farmhouse Rye IPA,IPA - Farmhouse,6.0,71.0,3.86,12636
250,50,Citra SMaSH IPA,IPA - American,7.4,60.0,3.82,4859
251,50,Coffee Porter,Porter - Coffee,6.3,30.0,3.84,2765
252,50,Simcoe Pale Ale,Pale Ale - American,5.4,34.0,3.6,1980
253,50,Belgian Pale Ale (BPA),Pale Ale - Belgian,9.7,49.0,3.61,1269
254,50,Fuzzieluscious,IPA - American,6.4,40.0,3.78,1199
255,51,Meta Modern Session IPA,IPA - Session / India Session Ale,4.5,45.0,3.69,18570
256,51,Slow Ride,Pale Ale - American,4.8,32.0,3.55,9613
257,51,London Homesick Ale,English Bitter,4.9,27.0,3.45,9285
258,51,Luchesa Lager,Kellerbier / Zwickelbier,4.8,35.0,3.36,7719
259,51,ProtoModern IPA,IPA - American,7.1,75.0,3.73,3053
260,52,Panzer IPA,IPA - American,,,3.52,13
261,52,Fat Bottom Blonde,Blonde Ale,,,,6
262,52,Route Irish Red,Red Ale - Irish,,,,3
263,52,Hill Country Hefeweizen,Hefeweizen,,,,4
264,53,Funky Monkey IPA,IPA - American,7.7,54.0,3.75,650
265,53,Moxey Monkey,IPA - New England,5.5,54.0,3.72,487
266,53,Monkey Wrench Session IPA,IPA - Session / India Session Ale,5.5,54.0,3.55,446
267,53,Monkey Tail,Pale Ale - American,5.6,41.0,3.52,412
268,53,Punk Monkey Porter,Porter - American,5.6,30.0,3.64,404
269,54,Chupahopra,IPA - American,6.3,52.0,3.54,11028
270,54,WHOA-MANGO,IPA - American,5.8,46.0,3.58,4885
271,54,Austin Lager,Lager - Helles,5.2,19.0,3.36,4412
272,54,Gulf Kölsch,Kölsch,5.1,20.0,3.52,3404
273,54,Pitmaster Pilsner,Pilsner - Other,4.2,16.0,3.41,1829
274,55,Dark Skies,Schwarzbier,4.9,,3.81,1077
275,55,Le Saison,Farmhouse Ale - Saison,6.6,,3.7,741
276,55,Adair,Kölsch,4.5,,3.62,510
277,55,Destination,IPA - American,6.5,45.0,3.62,512
278,55,Seeking Sakura,Brett Beer,6.3,,3.78,305
